batch_size,prompt_length,output_length,ttft_ms,tpot_ms,total_time_ms,avg_power_w,max_power_w,temperature_c,total_energy_j,energy_per_token_j,tokens_per_second,prefill_time_ms,decode_time_ms,gpu_freq_mhz,cpu_freq_mhz,emc_freq_mhz,iteration,timestamp,gpu_freq_set_mhz,cpu_freq_set_mhz,emc_freq_set_mhz
1,512,128,12.569371002365788,7.499639901439613,1069.7251332744586,19.545962981811783,27.713649908227822,57.70347062777699,20.908807855696242,0.1515559710943685,119.65690626356363,108.89128512338398,960.8338481510747,846,1479,1600,0,2026-05-06T21:01:58.263270,846,1479,1600
1,512,128,11.122868926043742,7.689403596960899,1075.915442107656,24.498322300005576,43.971386699064084,47.838235623485474,26.358123268306347,0.1415836687579651,118.96845699068639,91.94593934292605,983.96950276473,846,1479,1600,1,2026-05-06T21:01:58.865766,846,1479,1600
1,512,128,10.084179956347185,7.588804067687458,1083.3651290515352,17.40940332857243,33.34140124119878,42.16975788006422,18.8607404837691,0.1076258145706792,118.15037845279502,112.86422581766314,970.5009032338721,846,1479,1600,2,2026-05-06T21:01:59.469081,846,1479,1600
1,512,128,9.582657260584718,7.561753950638985,1060.6764538852071,20.885662165580293,36.23418752194705,46.17763053394803,22.15293008283214,0.13720466184028213,120.67770480917353,93.94526398033247,966.7311899048746,846,1479,1600,3,2026-05-06T21:02:00.072540,846,1479,1600
1,512,128,13.004860367986963,7.445395843352703,1058.324124357595,19.630471023968852,29.454029211344594,57.24802992007828,20.77540105716898,0.14413245618400974,120.94593428803888,104.08894533981059,954.2351790177845,846,1479,1600,4,2026-05-06T21:02:00.676244,846,1479,1600
1,512,128,14.02255233623336,7.574861694169748,1063.8867268900547,16.32354989183933,32.62567277193214,49.6081174189942,17.36640806565545,0.11385127151406851,120.31356042402051,92.530923506341,971.3558033837136,846,1479,1600,5,2026-05-06T21:02:01.280074,846,1479,1600
1,512,128,13.554289572328301,7.7375400548707685,1075.8952565604025,16.871450140756735,33.77913270986867,42.30756353711318,18.15191317773551,0.10527074052393495,118.97068903269569,84.19147654359577,991.7037800168066,846,1479,1600,6,2026-05-06T21:02:01.883371,846,1479,1600
1,512,128,11.338432518834342,7.4788771964158745,1052.8944763142972,19.189440714465206,40.8343607920264,46.898649125987056,20.204456131821097,0.10639022793351162,121.56963767923787,95.51811735692512,957.3763589573721,846,1479,1600,7,2026-05-06T21:02:02.486926,846,1479,1600
1,512,128,13.503838088245224,7.565627983065153,1066.1408252383096,21.599319909910676,34.09905522512959,49.16396740036003,23.02791675333842,0.13841002104386782,120.05918633815448,96.3035126635383,969.8373125747713,846,1479,1600,8,2026-05-06T21:02:03.090471,846,1479,1600
1,512,128,11.671314176375834,7.629682556241218,1095.1098322802427,17.635641643110105,30.138115859708492,49.46148204837368,19.31296456194077,0.1387166425323454,116.88325337512295,118.359271520024,976.7505607602186,846,1479,1600,9,2026-05-06T21:02:03.693792,846,1479,1600
