strategy,workload_name,prompt_len,output_len,batch_size,repeat,ttft_ms,tpot_ms,total_time_ms,total_energy_j,avg_power_w,max_power_w,temperature_c,tokens_per_second,slo_met,slo_violations,switch_overhead_ms,switch_energy_j
default,short_short,128,64,1,0,37.39027633102154,7.528015892948813,508.0649424261907,10.19757285930741,20.071396405763355,42.15251249292882,43.76318624219337,125.96814827328421,False,max_power_w,,
default,short_short,128,64,1,1,31.188491851953685,7.90815048402535,525.416747099401,7.4607057086421635,14.199596320120166,28.144779088942606,41.78663954108355,121.80807017156641,True,,,
default,short_short,128,64,1,2,37.903503364407264,7.7001633556488205,519.7841690388103,10.604751253696563,20.402220547245534,38.31419766346112,53.5242399333727,123.12802853990223,True,,,
default,short_short,128,64,1,3,35.83768756752908,7.855453138898926,526.9570237760231,10.882881070499645,20.65231238880931,33.50300533726692,49.6201014982726,121.45202950592503,True,,,
default,short_short,128,64,1,4,34.672602481855904,8.135502254810362,543.4498223840131,9.9640785719406,18.334863977377054,33.192337564732426,45.68583093241534,117.76616232800282,True,,,
default,short_short,128,64,1,5,37.33768604554774,7.857822454200509,528.2971928398919,10.855155961019147,20.54744206128871,45.66409005085835,53.60879465537518,121.14393350448131,False,max_power_w,,
default,short_short,128,64,1,6,31.881091945059833,7.887442149820403,525.412851721906,10.679764080889807,20.326423394269128,37.60203800923502,50.008479158853255,121.8089732488583,True,,,
default,short_short,128,64,1,7,32.421695262828244,8.04616539137084,535.7846097557722,10.093537950612115,18.838797843060618,31.279917604470725,48.571330447349446,119.45098615126936,True,,,
default,short_short,128,64,1,8,35.140264718532286,7.814723464802789,523.389106631142,10.274665390562134,19.6310264397673,34.22837080717234,42.78747646614056,122.27996186612256,True,,,
default,short_short,128,64,1,9,36.39400132385819,7.730363122550702,519.4812873875359,9.969368028022211,19.1910050853959,32.015726479848915,50.169289119739446,123.19981788344121,True,,,
default,short_long,128,256,1,0,36.12219759629458,7.906882520576985,2048.2894895248564,40.95169338030085,19.99311796000108,35.63743943182618,52.52684713672399,124.98233345882402,True,,,
default,short_long,128,256,1,1,40.61793378045569,7.978809816574346,2070.102436459086,43.79820969773958,21.15750840458721,32.97065856799048,50.56150845334946,123.66537785342085,True,,,
default,short_long,128,256,1,2,37.632609745417284,7.9341215998381935,2057.4777123099907,44.22425483297349,21.49440286442842,38.765941499431705,48.0733067090676,124.42419107061981,True,,,
default,short_long,128,256,1,3,38.50741169137684,8.01976180711595,2079.6893616198386,32.84131285555788,15.791451099205643,29.96482052842292,47.51264763779055,123.09530679168617,True,,,
default,short_long,128,256,1,4,34.1418536729291,7.887927244058534,2041.9917674163082,51.262841585514956,25.104333133711314,47.87315806599701,44.14459945879812,125.36779240981551,False,max_power_w,,
