phase,prompt_length,prefill_time_ms,total_time_ms,avg_power_w,max_power_w,temperature_c,energy_j,tokens_per_second,ttft_ms,tpot_ms,energy_per_token_j,gpu_freq_mhz,cpu_freq_mhz,emc_freq_mhz,scenario,output_length,batch_size,total_energy_j,decode_time_ms
prefill,512,257.76997117537644,257.76997117537644,22.73574493746141,31.294823461027615,54.71962957146237,5.860592317180138,4445.454824236039,0.22494886114872445,0.0,0.005750618582759368,378,1479,1600,prefill,,,,
prefill,512,89.51230181557105,89.51230181557105,33.58385537269345,42.279167889767265,39.86455093910297,3.0061681982510238,5719.884190386616,0.1748287144835372,0.0,0.005871422262209031,846,1479,1600,prefill,,,,
prefill,512,63.11298969328116,63.11298969328116,17.44204807844217,24.128666745213398,54.457166880910634,1.1008198006044352,4806.1062004281575,0.2080686439910366,0.0,0.00319020700864849,1428,1479,1600,prefill,,,,
decode,128,,2254.9494860505597,16.46326866394445,18.44546986965516,46.63341433361594,37.123839212473825,127.04328511497629,10.384135576516552,17.633509420946467,0.14570884858364797,378,1479,1600,decode,128.0,,,
decode,128,,1000.2252690664282,13.275263758956571,16.595064000226095,51.313412173059056,13.278254265230139,127.97117205354178,13.134055063630269,7.806844349270404,0.10373636144711046,846,1479,1600,decode,128.0,,,
decode,128,,607.3396938210134,21.302856226598834,30.05921686983377,42.10031959251232,12.938070178175606,124.85917443666601,8.62320029379547,4.755384976569325,0.1499795775408059,1428,1479,1600,decode,128.0,,,
,1024,539.0223422385479,1047.5231962510481,17.351743553371715,28.851524572877302,46.72006732812212,,68.36989183185923,13.363849527181351,15.760036839340739,0.28696396560175425,378,1479,1600,prefill_heavy,32.0,1.0,18.17635386755646,227.20250923962772
,1024,193.21892681032372,425.3755819309953,20.823556483738884,36.84050617610363,51.02722791329316,,75.2276373146192,11.807569642429701,7.234998129861884,0.2692051884979097,846,1479,1600,prefill_heavy,32.0,1.0,8.857832457143378,232.15665512067156
,1024,119.7648248934619,256.71257432786535,23.36536758076323,39.43639417098121,41.833680356894114,,73.8490634629559,11.908318848616322,4.2659504464106925,0.2773724915115444,1428,1479,1600,prefill_heavy,32.0,1.0,5.9981836617745765,231.16003096019872
,128,71.18654622465382,9195.04009527013,12.917570190481863,28.09343069914763,43.4301478872854,,124.62205167481632,8.9087136008682,17.82888685463869,0.08715347194714937,378,1479,1600,decode_heavy,512.0,1.0,118.77757583494693,4076.6154155309573
,128,26.652722273450927,4024.3179123978794,19.05556594912838,36.838613929105996,47.70793994412146,,127.2265291026489,8.863887759224603,7.811655443479997,0.11728799249941847,846,1479,1600,decode_heavy,512.0,1.0,76.68565537995643,3997.6651901244286
,128,14.55323221793651,2410.334649172968,24.143203694540162,43.08463169507113,51.085830623874735,,125.84465447423018,9.82666067251525,4.680822502689414,0.08258963694645634,1428,1479,1600,decode_heavy,512.0,1.0,58.19320040699097,4043.943100959557
