batch_size,prompt_length,output_length,ttft_ms,tpot_ms,total_time_ms,avg_power_w,max_power_w,temperature_c,total_energy_j,energy_per_token_j,tokens_per_second,prefill_time_ms,decode_time_ms,gpu_freq_mhz,cpu_freq_mhz,emc_freq_mhz,iteration
1,512,128,10.229232739568289,7.709408136663595,1094.5105128344703,20.411002147144405,34.14300292414792,56.77452704699327,22.340056427536496,0.14929520117778608,116.94725495922052,108.59619098514827,985.914321849322,846,1479,1600,0
1,512,128,9.829297317607153,7.618236466499379,1066.0190158805226,19.83487299367895,37.85725925900372,44.37696551734492,21.14435178883679,0.09071238786334815,120.07290497934795,91.95011975669675,974.0688961238259,846,1479,1600,1
1,512,128,12.822523764046977,7.704635366593364,1092.861717544427,20.12187469562928,35.17506713402134,48.982620110651176,21.99042654007916,0.1433398677482926,117.12369272812099,105.82467681103842,987.0370407333886,846,1479,1600,2
1,512,128,12.209977199815365,7.650259001082052,1074.8365567522135,16.022184756255868,25.23785307337256,54.34687042792679,17.22122989506186,0.14729125870808452,119.08787358961067,95.11367881491579,979.7228779372977,846,1479,1600,3
1,512,128,10.22748628251442,7.511246597451463,1054.7475621094286,23.304174591112844,33.68614383862299,47.0017885758953,24.58002133694876,0.16069986229030103,121.35605200547519,94.00092004474948,960.746642064679,846,1479,1600,4
1,512,128,11.46748059128737,7.521774845308971,1059.091885501919,21.077311174066246,36.38066741489635,49.94611628119401,22.322809232652485,0.10796798159642604,120.85825767547915,96.1814930868216,962.9103924150975,846,1479,1600,5
1,512,128,11.590636324874023,7.5865108602686995,1069.7598857237645,23.62188145331873,43.92619080908543,42.491696492482724,25.269741204082553,0.14891197177180324,119.65301906361856,98.54591558639035,971.2139701373742,846,1479,1600,6
1,512,128,10.749358466920679,7.7154014612422825,1076.9583853044965,19.684944539876618,35.23404452280488,49.93319606524402,21.199866086474085,0.13280651278384195,118.85324609252159,89.9361607487795,987.0222245557169,846,1479,1600,7
1,512,128,10.12404282370196,7.582311544176368,1068.5042968428493,20.682307195809017,33.869068152328026,42.884472511325434,22.099134107345716,0.12016260759911833,119.79362214846165,98.8013688499825,969.7029279928668,846,1479,1600,8
1,512,128,11.905315500300429,7.617405358728368,1078.2036936414036,21.361379549727495,39.13369607678562,50.25611965170654,23.031918331792127,0.14840696986970972,118.7159724594406,102.85633608270035,975.3473575587032,846,1479,1600,9
